x,y,xhat,yhat,belief_id,uncertainty,branch,commanded_action,next_x,next_y,next_xhat,next_yhat,next_belief_id,probability
1,0,4,7,128,2986,skip_move,east,2,0,5,7,167,0.97
1,0,4,7,128,2986,skip_move,east,1,0,5,7,167,0.01
1,0,4,7,128,2986,skip_move,east,1,1,5,7,167,0.01
1,4,4,7,128,2986,update,,1,4,1,4,0,1.0
1,4,4,7,128,2986,skip_move,east,0,4,5,7,167,0.01
1,4,4,7,128,2986,skip_move,east,2,4,5,7,167,0.97
1,4,4,7,128,2986,skip_move,east,1,3,5,7,167,0.01
1,4,4,7,128,2986,skip_move,east,1,5,5,7,167,0.01
0,5,4,7,128,2986,update,,0,5,0,5,0,1.0
0,5,4,7,128,2986,skip_move,east,0,5,5,7,167,0.01
0,5,4,7,128,2986,skip_move,east,1,5,5,7,167,0.97
0,5,4,7,128,2986,skip_move,east,0,4,5,7,167,0.01
0,5,4,7,128,2986,skip_move,east,0,6,5,7,167,0.01
5,2,4,7,128,2986,update,,5,2,5,2,0,1.0
5,2,4,7,128,2986,skip_move,east,4,2,5,7,167,0.01
5,2,4,7,128,2986,skip_move,east,6,2,5,7,167,0.97
5,2,4,7,128,2986,skip_move,east,5,1,5,7,167,0.01
5,2,4,7,128,2986,skip_move,east,5,3,5,7,167,0.01
4,1,4,7,128,2986,update,,4,1,4,1,0,1.0
4,1,4,7,128,2986,skip_move,east,3,1,5,7,167,0.01
4,1,4,7,128,2986,skip_move,east,5,1,5,7,167,0.97
4,1,4,7,128,2986,skip_move,east,4,0,5,7,167,0.01
4,1,4,7,128,2986,skip_move,east,4,2,5,7,167,0.01
4,3,4,7,128,2986,update,,4,3,4,3,0,1.0
4,3,4,7,128,2986,skip_move,east,3,3,5,7,167,0.01
4,3,4,7,128,2986,skip_move,east,5,3,5,7,167,0.97
4,3,4,7,128,2986,skip_move,east,4,2,5,7,167,0.01
4,3,4,7,128,2986,skip_move,east,4,4,5,7,167,0.01
3,0,4,7,128,2986,update,,3,0,3,0,0,1.0
3,0,4,7,128,2986,skip_move,east,2,0,5,7,167,0.01
3,0,4,7,128,2986,skip_move,east,4,0,5,7,167,0.97
3,0,4,7,128,2986,skip_move,east,3,0,5,7,167,0.01
3,0,4,7,128,2986,skip_move,east,3,1,5,7,167,0.01
3,4,4,7,128,2986,update,,3,4,3,4,0,1.0
3,4,4,7,128,2986,skip_move,east,2,4,5,7,167,0.01
3,4,4,7,128,2986,skip_move,east,4,4,5,7,167,0.97
3,4,4,7,128,2986,skip_move,east,3,3,5,7,167,0.01
3,4,4,7,128,2986,skip_move,east,3,5,5,7,167,0.01
2,0,4,7,128,2986,update,,2,0,2,0,0,1.0
2,0,4,7,128,2986,skip_move,east,1,0,5,7,167,0.01
2,0,4,7,128,2986,skip_move,east,3,0,5,7,167,0.97
2,0,4,7,128,2986,skip_move,east,2,0,5,7,167,0.01
2,0,4,7,128,2986,skip_move,east,2,1,5,7,167,0.01
2,5,4,7,128,2986,update,,2,5,2,5,0,1.0
2,5,4,7,128,2986,skip_move,east,1,5,5,7,167,0.01
2,5,4,7,128,2986,skip_move,east,3,5,5,7,167,0.97
2,5,4,7,128,2986,skip_move,east,2,4,5,7,167,0.01
2,5,4,7,128,2986,skip_move,east,2,6,5,7,167,0.01
1,6,4,7,128,2986,update,,1,6,1,6,0,1.0
1,6,4,7,128,2986,skip_move,east,0,6,5,7,167,0.01
1,6,4,7,128,2986,skip_move,east,2,6,5,7,167,0.97
1,6,4,7,128,2986,skip_move,east,1,5,5,7,167,0.01
1,6,4,7,128,2986,skip_move,east,1,7,5,7,167,0.01
7,2,4,7,128,2986,update,,7,2,7,2,0,1.0
7,2,4,7,128,2986,skip_move,east,6,2,5,7,167,0.01
7,2,4,7,128,2986,skip_move,east,8,2,5,7,167,0.97
7,2,4,7,128,2986,skip_move,east,7,1,5,7,167,0.01
7,2,4,7,128,2986,skip_move,east,7,3,5,7,167,0.01
6,1,4,7,128,2986,update,,6,1,6,1,0,1.0
6,1,4,7,128,2986,skip_move,east,5,1,5,7,167,0.01
6,1,4,7,128,2986,skip_move,east,7,1,5,7,167,0.97
6,1,4,7,128,2986,skip_move,east,6,0,5,7,167,0.01
6,1,4,7,128,2986,skip_move,east,6,2,5,7,167,0.01
6,3,4,7,128,2986,update,,6,3,6,3,0,1.0
6,3,4,7,128,2986,skip_move,east,5,3,5,7,167,0.01
6,3,4,7,128,2986,skip_move,east,7,3,5,7,167,0.97
6,3,4,7,128,2986,skip_move,east,6,2,5,7,167,0.01
6,3,4,7,128,2986,skip_move,east,6,4,5,7,167,0.01
5,0,4,7,128,2986,update,,5,0,5,0,0,1.0
5,0,4,7,128,2986,skip_move,east,4,0,5,7,167,0.01
5,0,4,7,128,2986,skip_move,east,6,0,5,7,167,0.97
5,0,4,7,128,2986,skip_move,east,5,0,5,7,167,0.01
5,0,4,7,128,2986,skip_move,east,5,1,5,7,167,0.01
5,4,4,7,128,2986,update,,5,4,5,4,0,1.0
5,4,4,7,128,2986,skip_move,east,4,4,5,7,167,0.01
5,4,4,7,128,2986,skip_move,east,6,4,5,7,167,0.97
5,4,4,7,128,2986,skip_move,east,5,3,5,7,167,0.01
5,4,4,7,128,2986,skip_move,east,5,5,5,7,167,0.01
4,0,4,7,128,2986,update,,4,0,4,0,0,1.0
4,0,4,7,128,2986,skip_move,east,3,0,5,7,167,0.01
4,0,4,7,128,2986,skip_move,east,5,0,5,7,167,0.97
4,0,4,7,128,2986,skip_move,east,4,0,5,7,167,0.01
4,0,4,7,128,2986,skip_move,east,4,1,5,7,167,0.01
4,5,4,7,128,2986,update,,4,5,4,5,0,1.0
4,5,4,7,128,2986,skip_move,east,3,5,5,7,167,0.01
4,5,4,7,128,2986,skip_move,east,5,5,5,7,167,0.97
4,5,4,7,128,2986,skip_move,east,4,4,5,7,167,0.01
4,5,4,7,128,2986,skip_move,east,4,6,5,7,167,0.01
3,1,4,7,128,2986,update,,3,1,3,1,0,1.0
3,1,4,7,128,2986,skip_move,east,2,1,5,7,167,0.01
3,1,4,7,128,2986,skip_move,east,4,1,5,7,167,0.97
3,1,4,7,128,2986,skip_move,east,3,0,5,7,167,0.01
3,1,4,7,128,2986,skip_move,east,3,2,5,7,167,0.01
3,6,4,7,128,2986,update,,3,6,3,6,0,1.0
3,6,4,7,128,2986,skip_move,east,2,6,5,7,167,0.01
3,6,4,7,128,2986,skip_move,east,4,6,5,7,167,0.97
3,6,4,7,128,2986,skip_move,east,3,5,5,7,167,0.01
3,6,4,7,128,2986,skip_move,east,3,7,5,7,167,0.01
2,7,4,7,128,2986,update,,2,7,2,7,0,1.0
2,7,4,7,128,2986,skip_move,east,1,7,5,7,167,0.01
2,7,4,7,128,2986,skip_move,east,3,7,5,7,167,0.97
2,7,4,7,128,2986,skip_move,east,2,6,5,7,167,0.01
2,7,4,7,128,2986,skip_move,east,2,8,5,7,167,0.01
9,2,4,7,128,2986,update,,9,2,9,2,0,1.0
9,2,4,7,128,2986,skip_move,east,8,2,5,7,167,0.01
9,2,4,7,128,2986,skip_move,east,9,2,5,7,167,0.97
9,2,4,7,128,2986,skip_move,east,9,1,5,7,167,0.01
9,2,4,7,128,2986,skip_move,east,9,3,5,7,167,0.01
8,1,4,7,128,2986,update,,8,1,8,1,0,1.0
8,1,4,7,128,2986,skip_move,east,7,1,5,7,167,0.01
8,1,4,7,128,2986,skip_move,east,9,1,5,7,167,0.97
8,1,4,7,128,2986,skip_move,east,8,0,5,7,167,0.01
8,1,4,7,128,2986,skip_move,east,8,2,5,7,167,0.01
8,3,4,7,128,2986,update,,8,3,8,3,0,1.0
8,3,4,7,128,2986,skip_move,east,7,3,5,7,167,0.01
8,3,4,7,128,2986,skip_move,east,9,3,5,7,167,0.97
8,3,4,7,128,2986,skip_move,east,8,2,5,7,167,0.01
8,3,4,7,128,2986,skip_move,east,8,4,5,7,167,0.01
7,0,4,7,128,2986,update,,7,0,7,0,0,1.0
7,0,4,7,128,2986,skip_move,east,6,0,5,7,167,0.01
7,0,4,7,128,2986,skip_move,east,8,0,5,7,167,0.97
7,0,4,7,128,2986,skip_move,east,7,0,5,7,167,0.01
7,0,4,7,128,2986,skip_move,east,7,1,5,7,167,0.01
7,4,4,7,128,2986,update,,7,4,7,4,0,1.0
7,4,4,7,128,2986,skip_move,east,6,4,5,7,167,0.01
7,4,4,7,128,2986,skip_move,east,8,4,5,7,167,0.97
7,4,4,7,128,2986,skip_move,east,7,3,5,7,167,0.01
7,4,4,7,128,2986,skip_move,east,7,5,5,7,167,0.01
6,0,4,7,128,2986,update,,6,0,6,0,0,1.0
6,0,4,7,128,2986,skip_move,east,5,0,5,7,167,0.01
6,0,4,7,128,2986,skip_move,east,7,0,5,7,167,0.97
6,0,4,7,128,2986,skip_move,east,6,0,5,7,167,0.01
6,0,4,7,128,2986,skip_move,east,6,1,5,7,167,0.01
6,5,4,7,128,2986,update,,6,5,6,5,0,1.0
6,5,4,7,128,2986,skip_move,east,5,5,5,7,167,0.01
6,5,4,7,128,2986,skip_move,east,7,5,5,7,167,0.97
6,5,4,7,128,2986,skip_move,east,6,4,5,7,167,0.01
6,5,4,7,128,2986,skip_move,east,6,6,5,7,167,0.01
5,1,4,7,128,2986,update,,5,1,5,1,0,1.0
5,1,4,7,128,2986,skip_move,east,4,1,5,7,167,0.01
5,1,4,7,128,2986,skip_move,east,6,1,5,7,167,0.97
5,1,4,7,128,2986,skip_move,east,5,0,5,7,167,0.01
5,1,4,7,128,2986,skip_move,east,5,2,5,7,167,0.01
5,6,4,7,128,2986,update,,5,6,5,6,0,1.0
5,6,4,7,128,2986,skip_move,east,4,6,5,7,167,0.01
5,6,4,7,128,2986,skip_move,east,6,6,5,7,167,0.97
5,6,4,7,128,2986,skip_move,east,5,5,5,7,167,0.01
5,6,4,7,128,2986,skip_move,east,5,7,5,7,167,0.01
4,2,4,7,128,2986,update,,4,2,4,2,0,1.0
4,2,4,7,128,2986,skip_move,east,3,2,5,7,167,0.01
4,2,4,7,128,2986,skip_move,east,5,2,5,7,167,0.97
4,2,4,7,128,2986,skip_move,east,4,1,5,7,167,0.01
4,2,4,7,128,2986,skip_move,east,4,3,5,7,167,0.01
4,7,4,7,128,2986,update,,4,7,4,7,0,1.0
4,7,4,7,128,2986,skip_move,east,3,7,5,7,167,0.01
4,7,4,7,128,2986,skip_move,east,5,7,5,7,167,0.97
4,7,4,7,128,2986,skip_move,east,4,6,5,7,167,0.01
4,7,4,7,128,2986,skip_move,east,4,8,5,7,167,0.01
3,3,4,7,128,2986,update,,3,3,3,3,0,1.0
3,3,4,7,128,2986,skip_move,east,2,3,5,7,167,0.01
3,3,4,7,128,2986,skip_move,east,4,3,5,7,167,0.97
3,3,4,7,128,2986,skip_move,east,3,2,5,7,167,0.01
3,3,4,7,128,2986,skip_move,east,3,4,5,7,167,0.01
3,8,4,7,128,2986,update,,3,8,3,8,0,1.0
3,8,4,7,128,2986,skip_move,east,2,8,5,7,167,0.01
3,8,4,7,128,2986,skip_move,east,4,8,5,7,167,0.97
3,8,4,7,128,2986,skip_move,east,3,7,5,7,167,0.01
3,8,4,7,128,2986,skip_move,east,3,9,5,7,167,0.01
0,3,4,7,129,2571,update,,0,3,0,3,0,1.0
0,3,4,7,129,2571,skip_move,east,0,3,5,7,168,0.01
0,3,4,7,129,2571,skip_move,east,1,3,5,7,168,0.97
0,3,4,7,129,2571,skip_move,east,0,2,5,7,168,0.01
0,3,4,7,129,2571,skip_move,east,0,4,5,7,168,0.01
1,3,4,7,129,2571,update,,1,3,1,3,0,1.0
1,3,4,7,129,2571,skip_move,east,0,3,5,7,168,0.01
1,3,4,7,129,2571,skip_move,east,2,3,5,7,168,0.97
1,3,4,7,129,2571,skip_move,east,1,2,5,7,168,0.01
1,3,4,7,129,2571,skip_move,east,1,4,5,7,168,0.01
0,2,4,7,129,2571,update,,0,2,0,2,0,1.0
0,2,4,7,129,2571,skip_move,east,0,2,5,7,168,0.01
0,2,4,7,129,2571,skip_move,east,1,2,5,7,168,0.97
0,2,4,7,129,2571,skip_move,east,0,1,5,7,168,0.01
0,2,4,7,129,2571,skip_move,east,0,3,5,7,168,0.01
0,4,4,7,129,2571,update,,0,4,0,4,0,1.0
0,4,4,7,129,2571,skip_move,east,0,4,5,7,168,0.01
0,4,4,7,129,2571,skip_move,east,1,4,5,7,168,0.97
0,4,4,7,129,2571,skip_move,east,0,3,5,7,168,0.01
0,4,4,7,129,2571,skip_move,east,0,5,5,7,168,0.01
2,3,4,7,129,2571,update,,2,3,2,3,0,1.0
2,3,4,7,129,2571,skip_move,east,1,3,5,7,168,0.01
2,3,4,7,129,2571,skip_move,east,3,3,5,7,168,0.97
2,3,4,7,129,2571,skip_move,east,2,2,5,7,168,0.01
2,3,4,7,129,2571,skip_move,east,2,4,5,7,168,0.01
1,2,4,7,129,2571,update,,1,2,1,2,0,1.0
1,2,4,7,129,2571,skip_move,east,0,2,5,7,168,0.01
1,2,4,7,129,2571,skip_move,east,2,2,5,7,168,0.97
1,2,4,7,129,2571,skip_move,east,1,1,5,7,168,0.01
1,2,4,7,129,2571,skip_move,east,1,3,5,7,168,0.01
1,4,4,7,129,2571,update,,1,4,1,4,0,1.0
1,4,4,7,129,2571,skip_move,east,0,4,5,7,168,0.01
1,4,4,7,129,2571,skip_move,east,2,4,5,7,168,0.97
1,4,4,7,129,2571,skip_move,east,1,3,5,7,168,0.01
1,4,4,7,129,2571,skip_move,east,1,5,5,7,168,0.01
0,1,4,7,129,2571,update,,0,1,0,1,0,1.0
0,1,4,7,129,2571,skip_move,east,0,1,5,7,168,0.01
0,1,4,7,129,2571,skip_move,east,1,1,5,7,168,0.97
0,1,4,7,129,2571,skip_move,east,0,0,5,7,168,0.01
0,1,4,7,129,2571,skip_move,east,0,2,5,7,168,0.01
0,5,4,7,129,2571,update,,0,5,0,5,0,1.0
0,5,4,7,129,2571,skip_move,east,0,5,5,7,168,0.01
0,5,4,7,129,2571,skip_move,east,1,5,5,7,168,0.97
0,5,4,7,129,2571,skip_move,east,0,4,5,7,168,0.01
0,5,4,7,129,2571,skip_move,east,0,6,5,7,168,0.01
4,3,4,7,129,2571,update,,4,3,4,3,0,1.0
4,3,4,7,129,2571,skip_move,east,3,3,5,7,168,0.01
4,3,4,7,129,2571,skip_move,east,5,3,5,7,168,0.97
4,3,4,7,129,2571,skip_move,east,4,2,5,7,168,0.01
4,3,4,7,129,2571,skip_move,east,4,4,5,7,168,0.01
3,2,4,7,129,2571,update,,3,2,3,2,0,1.0
3,2,4,7,129,2571,skip_move,east,2,2,5,7,168,0.01
3,2,4,7,129,2571,skip_move,east,4,2,5,7,168,0.97
3,2,4,7,129,2571,skip_move,east,3,1,5,7,168,0.01
3,2,4,7,129,2571,skip_move,east,3,3,5,7,168,0.01
3,4,4,7,129,2571,update,,3,4,3,4,0,1.0
3,4,4,7,129,2571,skip_move,east,2,4,5,7,168,0.01
3,4,4,7,129,2571,skip_move,east,4,4,5,7,168,0.97
3,4,4,7,129,2571,skip_move,east,3,3,5,7,168,0.01
3,4,4,7,129,2571,skip_move,east,3,5,5,7,168,0.01
2,1,4,7,129,2571,update,,2,1,2,1,0,1.0
2,1,4,7,129,2571,skip_move,east,1,1,5,7,168,0.01
2,1,4,7,129,2571,skip_move,east,3,1,5,7,168,0.97
2,1,4,7,129,2571,skip_move,east,2,0,5,7,168,0.01
2,1,4,7,129,2571,skip_move,east,2,2,5,7,168,0.01
2,5,4,7,129,2571,update,,2,5,2,5,0,1.0
2,5,4,7,129,2571,skip_move,east,1,5,5,7,168,0.01
2,5,4,7,129,2571,skip_move,east,3,5,5,7,168,0.97
2,5,4,7,129,2571,skip_move,east,2,4,5,7,168,0.01
2,5,4,7,129,2571,skip_move,east,2,6,5,7,168,0.01
1,0,4,7,129,2571,update,,1,0,1,0,0,1.0
1,0,4,7,129,2571,skip_move,east,0,0,5,7,168,0.01
1,0,4,7,129,2571,skip_move,east,2,0,5,7,168,0.97
1,0,4,7,129,2571,skip_move,east,1,0,5,7,168,0.01
1,0,4,7,129,2571,skip_move,east,1,1,5,7,168,0.01
1,6,4,7,129,2571,update,,1,6,1,6,0,1.0
1,6,4,7,129,2571,skip_move,east,0,6,5,7,168,0.01
1,6,4,7,129,2571,skip_move,east,2,6,5,7,168,0.97
1,6,4,7,129,2571,skip_move,east,1,5,5,7,168,0.01
1,6,4,7,129,2571,skip_move,east,1,7,5,7,168,0.01
6,3,4,7,129,2571,update,,6,3,6,3,0,1.0
6,3,4,7,129,2571,skip_move,east,5,3,5,7,168,0.01
6,3,4,7,129,2571,skip_move,east,7,3,5,7,168,0.97
6,3,4,7,129,2571,skip_move,east,6,2,5,7,168,0.01
6,3,4,7,129,2571,skip_move,east,6,4,5,7,168,0.01
5,2,4,7,129,2571,update,,5,2,5,2,0,1.0
5,2,4,7,129,2571,skip_move,east,4,2,5,7,168,0.01
5,2,4,7,129,2571,skip_move,east,6,2,5,7,168,0.97
5,2,4,7,129,2571,skip_move,east,5,1,5,7,168,0.01
5,2,4,7,129,2571,skip_move,east,5,3,5,7,168,0.01
5,4,4,7,129,2571,update,,5,4,5,4,0,1.0
5,4,4,7,129,2571,skip_move,east,4,4,5,7,168,0.01
5,4,4,7,129,2571,skip_move,east,6,4,5,7,168,0.97
5,4,4,7,129,2571,skip_move,east,5,3,5,7,168,0.01
5,4,4,7,129,2571,skip_move,east,5,5,5,7,168,0.01
4,1,4,7,129,2571,update,,4,1,4,1,0,1.0
4,1,4,7,129,2571,skip_move,east,3,1,5,7,168,0.01
4,1,4,7,129,2571,skip_move,east,5,1,5,7,168,0.97
4,1,4,7,129,2571,skip_move,east,4,0,5,7,168,0.01
4,1,4,7,129,2571,skip_move,east,4,2,5,7,168,0.01
4,5,4,7,129,2571,update,,4,5,4,5,0,1.0
4,5,4,7,129,2571,skip_move,east,3,5,5,7,168,0.01
4,5,4,7,129,2571,skip_move,east,5,5,5,7,168,0.97
4,5,4,7,129,2571,skip_move,east,4,4,5,7,168,0.01
4,5,4,7,129,2571,skip_move,east,4,6,5,7,168,0.01
3,0,4,7,129,2571,update,,3,0,3,0,0,1.0
3,0,4,7,129,2571,skip_move,east,2,0,5,7,168,0.01
3,0,4,7,129,2571,skip_move,east,4,0,5,7,168,0.97
3,0,4,7,129,2571,skip_move,east,3,0,5,7,168,0.01
3,0,4,7,129,2571,skip_move,east,3,1,5,7,168,0.01
3,6,4,7,129,2571,update,,3,6,3,6,0,1.0
3,6,4,7,129,2571,skip_move,east,2,6,5,7,168,0.01
3,6,4,7,129,2571,skip_move,east,4,6,5,7,168,0.97
3,6,4,7,129,2571,skip_move,east,3,5,5,7,168,0.01
3,6,4,7,129,2571,skip_move,east,3,7,5,7,168,0.01
2,0,4,7,129,2571,update,,2,0,2,0,0,1.0
2,0,4,7,129,2571,skip_move,east,1,0,5,7,168,0.01
2,0,4,7,129,2571,skip_move,east,3,0,5,7,168,0.97
2,0,4,7,129,2571,skip_move,east,2,0,5,7,168,0.01
2,0,4,7,129,2571,skip_move,east,2,1,5,7,168,0.01
2,7,4,7,129,2571,update,,2,7,2,7,0,1.0
2,7,4,7,129,2571,skip_move,east,1,7,5,7,168,0.01
2,7,4,7,129,2571,skip_move,east,3,7,5,7,168,0.97
2,7,4,7,129,2571,skip_move,east,2,6,5,7,168,0.01
2,7,4,7,129,2571,skip_move,east,2,8,5,7,168,0.01
8,3,4,7,129,2571,update,,8,3,8,3,0,1.0
8,3,4,7,129,2571,skip_move,east,7,3,5,7,168,0.01
8,3,4,7,129,2571,skip_move,east,9,3,5,7,168,0.97
8,3,4,7,129,2571,skip_move,east,8,2,5,7,168,0.01
8,3,4,7,129,2571,skip_move,east,8,4,5,7,168,0.01
7,2,4,7,129,2571,update,,7,2,7,2,0,1.0
7,2,4,7,129,2571,skip_move,east,6,2,5,7,168,0.01
7,2,4,7,129,2571,skip_move,east,8,2,5,7,168,0.97
7,2,4,7,129,2571,skip_move,east,7,1,5,7,168,0.01
7,2,4,7,129,2571,skip_move,east,7,3,5,7,168,0.01
7,4,4,7,129,2571,update,,7,4,7,4,0,1.0
7,4,4,7,129,2571,skip_move,east,6,4,5,7,168,0.01
7,4,4,7,129,2571,skip_move,east,8,4,5,7,168,0.97
7,4,4,7,129,2571,skip_move,east,7,3,5,7,168,0.01
7,4,4,7,129,2571,skip_move,east,7,5,5,7,168,0.01
6,1,4,7,129,2571,update,,6,1,6,1,0,1.0
6,1,4,7,129,2571,skip_move,east,5,1,5,7,168,0.01
6,1,4,7,129,2571,skip_move,east,7,1,5,7,168,0.97
6,1,4,7,129,2571,skip_move,east,6,0,5,7,168,0.01
6,1,4,7,129,2571,skip_move,east,6,2,5,7,168,0.01
6,5,4,7,129,2571,update,,6,5,6,5,0,1.0
6,5,4,7,129,2571,skip_move,east,5,5,5,7,168,0.01
6,5,4,7,129,2571,skip_move,east,7,5,5,7,168,0.97
6,5,4,7,129,2571,skip_move,east,6,4,5,7,168,0.01
6,5,4,7,129,2571,skip_move,east,6,6,5,7,168,0.01
5,0,4,7,129,2571,update,,5,0,5,0,0,1.0
5,0,4,7,129,2571,skip_move,east,4,0,5,7,168,0.01
5,0,4,7,129,2571,skip_move,east,6,0,5,7,168,0.97
5,0,4,7,129,2571,skip_move,east,5,0,5,7,168,0.01
5,0,4,7,129,2571,skip_move,east,5,1,5,7,168,0.01
5,6,4,7,129,2571,update,,5,6,5,6,0,1.0
5,6,4,7,129,2571,skip_move,east,4,6,5,7,168,0.01
5,6,4,7,129,2571,skip_move,east,6,6,5,7,168,0.97
5,6,4,7,129,2571,skip_move,east,5,5,5,7,168,0.01
5,6,4,7,129,2571,skip_move,east,5,7,5,7,168,0.01
4,0,4,7,129,2571,update,,4,0,4,0,0,1.0
4,0,4,7,129,2571,skip_move,east,3,0,5,7,168,0.01
4,0,4,7,129,2571,skip_move,east,5,0,5,7,168,0.97
4,0,4,7,129,2571,skip_move,east,4,0,5,7,168,0.01
4,0,4,7,129,2571,skip_move,east,4,1,5,7,168,0.01
4,7,4,7,129,2571,update,,4,7,4,7,0,1.0
4,7,4,7,129,2571,skip_move,east,3,7,5,7,168,0.01
4,7,4,7,129,2571,skip_move,east,5,7,5,7,168,0.97
4,7,4,7,129,2571,skip_move,east,4,6,5,7,168,0.01
4,7,4,7,129,2571,skip_move,east,4,8,5,7,168,0.01
3,1,4,7,129,2571,update,,3,1,3,1,0,1.0
3,1,4,7,129,2571,skip_move,east,2,1,5,7,168,0.01
3,1,4,7,129,2571,skip_move,east,4,1,5,7,168,0.97
3,1,4,7,129,2571,skip_move,east,3,0,5,7,168,0.01
3,1,4,7,129,2571,skip_move,east,3,2,5,7,168,0.01
3,8,4,7,129,2571,update,,3,8,3,8,0,1.0
3,8,4,7,129,2571,skip_move,east,2,8,5,7,168,0.01
3,8,4,7,129,2571,skip_move,east,4,8,5,7,168,0.97
3,8,4,7,129,2571,skip_move,east,3,7,5,7,168,0.01
3,8,4,7,129,2571,skip_move,east,3,9,5,7,168,0.01
0,4,4,7,130,2127,update,,0,4,0,4,0,1.0
0,4,4,7,130,2127,skip_move,east,0,4,5,7,169,0.01
0,4,4,7,130,2127,skip_move,east,1,4,5,7,169,0.97
0,4,4,7,130,2127,skip_move,east,0,3,5,7,169,0.01
0,4,4,7,130,2127,skip_move,east,0,5,5,7,169,0.01
1,4,4,7,130,2127,update,,1,4,1,4,0,1.0
1,4,4,7,130,2127,skip_move,east,0,4,5,7,169,0.01
1,4,4,7,130,2127,skip_move,east,2,4,5,7,169,0.97
1,4,4,7,130,2127,skip_move,east,1,3,5,7,169,0.01
1,4,4,7,130,2127,skip_move,east,1,5,5,7,169,0.01
0,3,4,7,130,2127,update,,0,3,0,3,0,1.0
0,3,4,7,130,2127,skip_move,east,0,3,5,7,169,0.01
0,3,4,7,130,2127,skip_move,east,1,3,5,7,169,0.97
0,3,4,7,130,2127,skip_move,east,0,2,5,7,169,0.01
0,3,4,7,130,2127,skip_move,east,0,4,5,7,169,0.01
0,5,4,7,130,2127,update,,0,5,0,5,0,1.0
0,5,4,7,130,2127,skip_move,east,0,5,5,7,169,0.01
0,5,4,7,130,2127,skip_move,east,1,5,5,7,169,0.97
0,5,4,7,130,2127,skip_move,east,0,4,5,7,169,0.01
0,5,4,7,130,2127,skip_move,east,0,6,5,7,169,0.01
3,4,4,7,130,2127,update,,3,4,3,4,0,1.0
3,4,4,7,130,2127,skip_move,east,2,4,5,7,169,0.01
3,4,4,7,130,2127,skip_move,east,4,4,5,7,169,0.97
3,4,4,7,130,2127,skip_move,east,3,3,5,7,169,0.01
3,4,4,7,130,2127,skip_move,east,3,5,5,7,169,0.01
2,3,4,7,130,2127,update,,2,3,2,3,0,1.0
2,3,4,7,130,2127,skip_move,east,1,3,5,7,169,0.01
2,3,4,7,130,2127,skip_move,east,3,3,5,7,169,0.97
2,3,4,7,130,2127,skip_move,east,2,2,5,7,169,0.01
2,3,4,7,130,2127,skip_move,east,2,4,5,7,169,0.01
2,5,4,7,130,2127,update,,2,5,2,5,0,1.0
2,5,4,7,130,2127,skip_move,east,1,5,5,7,169,0.01
2,5,4,7,130,2127,skip_move,east,3,5,5,7,169,0.97
2,5,4,7,130,2127,skip_move,east,2,4,5,7,169,0.01
2,5,4,7,130,2127,skip_move,east,2,6,5,7,169,0.01
1,2,4,7,130,2127,update,,1,2,1,2,0,1.0
1,2,4,7,130,2127,skip_move,east,0,2,5,7,169,0.01
1,2,4,7,130,2127,skip_move,east,2,2,5,7,169,0.97
1,2,4,7,130,2127,skip_move,east,1,1,5,7,169,0.01
1,2,4,7,130,2127,skip_move,east,1,3,5,7,169,0.01
1,6,4,7,130,2127,update,,1,6,1,6,0,1.0
1,6,4,7,130,2127,skip_move,east,0,6,5,7,169,0.01
1,6,4,7,130,2127,skip_move,east,2,6,5,7,169,0.97
1,6,4,7,130,2127,skip_move,east,1,5,5,7,169,0.01
1,6,4,7,130,2127,skip_move,east,1,7,5,7,169,0.01
5,4,4,7,130,2127,update,,5,4,5,4,0,1.0
5,4,4,7,130,2127,skip_move,east,4,4,5,7,169,0.01
5,4,4,7,130,2127,skip_move,east,6,4,5,7,169,0.97
5,4,4,7,130,2127,skip_move,east,5,3,5,7,169,0.01
5,4,4,7,130,2127,skip_move,east,5,5,5,7,169,0.01
4,3,4,7,130,2127,update,,4,3,4,3,0,1.0
4,3,4,7,130,2127,skip_move,east,3,3,5,7,169,0.01
4,3,4,7,130,2127,skip_move,east,5,3,5,7,169,0.97
4,3,4,7,130,2127,skip_move,east,4,2,5,7,169,0.01
4,3,4,7,130,2127,skip_move,east,4,4,5,7,169,0.01
4,5,4,7,130,2127,update,,4,5,4,5,0,1.0
4,5,4,7,130,2127,skip_move,east,3,5,5,7,169,0.01
4,5,4,7,130,2127,skip_move,east,5,5,5,7,169,0.97
4,5,4,7,130,2127,skip_move,east,4,4,5,7,169,0.01
4,5,4,7,130,2127,skip_move,east,4,6,5,7,169,0.01
3,2,4,7,130,2127,update,,3,2,3,2,0,1.0
3,2,4,7,130,2127,skip_move,east,2,2,5,7,169,0.01
3,2,4,7,130,2127,skip_move,east,4,2,5,7,169,0.97
3,2,4,7,130,2127,skip_move,east,3,1,5,7,169,0.01
3,2,4,7,130,2127,skip_move,east,3,3,5,7,169,0.01
3,6,4,7,130,2127,update,,3,6,3,6,0,1.0
3,6,4,7,130,2127,skip_move,east,2,6,5,7,169,0.01
3,6,4,7,130,2127,skip_move,east,4,6,5,7,169,0.97
3,6,4,7,130,2127,skip_move,east,3,5,5,7,169,0.01
3,6,4,7,130,2127,skip_move,east,3,7,5,7,169,0.01
2,1,4,7,130,2127,update,,2,1,2,1,0,1.0
