model,start_x,start_y,threshold,reached,first_passage_step,actual_update_step,fallback_used
43,6,4,14,1,3,3,0
43,6,4,15,1,4,4,0
43,6,4,16,1,4,4,0
43,6,4,17,1,5,5,0
43,6,4,18,1,6,6,0
43,6,4,19,0,,10,1
43,6,5,1,1,1,1,0
43,6,5,2,1,1,1,0
43,6,5,3,1,1,1,0
43,6,5,4,1,1,1,0
43,6,5,5,1,1,1,0
43,6,5,6,1,1,1,0
43,6,5,7,1,2,2,0
43,6,5,8,1,2,2,0
43,6,5,9,1,2,2,0
43,6,5,10,1,3,3,0
43,6,5,11,1,3,3,0
43,6,5,12,1,3,3,0
43,6,5,13,1,3,3,0
43,6,5,14,1,4,4,0
43,6,5,15,1,4,4,0
43,6,5,16,1,5,5,0
43,6,5,17,1,5,5,0
43,6,5,18,1,6,6,0
43,6,5,19,0,,10,1
43,6,6,1,1,1,1,0
43,6,6,2,1,1,1,0
43,6,6,3,1,1,1,0
43,6,6,4,1,1,1,0
43,6,6,5,1,1,1,0
43,6,6,6,1,1,1,0
43,6,6,7,1,2,2,0
43,6,6,8,1,2,2,0
43,6,6,9,1,2,2,0
43,6,6,10,1,2,2,0
43,6,6,11,1,2,2,0
43,6,6,12,1,3,3,0
43,6,6,13,1,3,3,0
43,6,6,14,1,3,3,0
43,6,6,15,1,4,4,0
43,6,6,16,1,4,4,0
43,6,6,17,1,5,5,0
43,6,6,18,1,6,6,0
43,6,6,19,0,,10,1
43,7,0,1,1,1,1,0
43,7,0,2,1,1,1,0
43,7,0,3,1,1,1,0
43,7,0,4,1,1,1,0
43,7,0,5,1,1,1,0
43,7,0,6,1,2,2,0
43,7,0,7,1,2,2,0
43,7,0,8,1,2,2,0
43,7,0,9,1,2,2,0
43,7,0,10,1,2,2,0
43,7,0,11,1,3,3,0
43,7,0,12,1,3,3,0
43,7,0,13,1,3,3,0
43,7,0,14,1,3,3,0
43,7,0,15,1,4,4,0
43,7,0,16,1,4,4,0
43,7,0,17,1,4,4,0
43,7,0,18,1,5,5,0
43,7,0,19,0,,10,1
43,7,1,1,1,1,1,0
43,7,1,2,1,1,1,0
43,7,1,3,1,1,1,0
43,7,1,4,1,1,1,0
43,7,1,5,1,2,2,0
43,7,1,6,1,2,2,0
43,7,1,7,1,2,2,0
43,7,1,8,1,2,2,0
43,7,1,9,1,2,2,0
43,7,1,10,1,3,3,0
43,7,1,11,1,3,3,0
43,7,1,12,1,3,3,0
43,7,1,13,1,3,3,0
43,7,1,14,1,4,4,0
43,7,1,15,1,4,4,0
43,7,1,16,1,4,4,0
43,7,1,17,1,5,5,0
43,7,1,18,1,5,5,0
43,7,1,19,0,,10,1
43,7,4,1,1,1,1,0
43,7,4,2,1,1,1,0
43,7,4,3,1,1,1,0
43,7,4,4,1,1,1,0
43,7,4,5,1,1,1,0
43,7,4,6,1,1,1,0
43,7,4,7,1,2,2,0
43,7,4,8,1,2,2,0
43,7,4,9,1,2,2,0
43,7,4,10,1,2,2,0
43,7,4,11,1,3,3,0
43,7,4,12,1,3,3,0
43,7,4,13,1,3,3,0
43,7,4,14,1,4,4,0
43,7,4,15,1,4,4,0
43,7,4,16,1,5,5,0
43,7,4,17,1,6,6,0
43,7,4,18,1,7,7,0
43,7,4,19,0,,10,1
43,7,5,1,1,1,1,0
43,7,5,2,1,1,1,0
43,7,5,3,1,1,1,0
43,7,5,4,1,1,1,0
43,7,5,5,1,1,1,0
43,7,5,6,1,2,2,0
43,7,5,7,1,2,2,0
43,7,5,8,1,2,2,0
43,7,5,9,1,2,2,0
43,7,5,10,1,2,2,0
43,7,5,11,1,3,3,0
43,7,5,12,1,3,3,0
43,7,5,13,1,4,4,0
43,7,5,14,1,4,4,0
43,7,5,15,1,5,5,0
43,7,5,16,1,5,5,0
43,7,5,17,1,6,6,0
43,7,5,18,0,,10,1
43,7,5,19,0,,10,1
43,7,6,1,1,1,1,0
43,7,6,2,1,1,1,0
43,7,6,3,1,1,1,0
43,7,6,4,1,1,1,0
43,7,6,5,1,1,1,0
43,7,6,6,1,2,2,0
43,7,6,7,1,2,2,0
43,7,6,8,1,2,2,0
43,7,6,9,1,3,3,0
43,7,6,10,1,3,3,0
43,7,6,11,1,3,3,0
43,7,6,12,1,4,4,0
43,7,6,13,1,4,4,0
43,7,6,14,1,5,5,0
43,7,6,15,1,5,5,0
43,7,6,16,0,,10,1
43,7,6,17,0,,10,1
43,7,6,18,0,,10,1
43,7,6,19,0,,10,1
43,8,0,1,1,1,1,0
43,8,0,2,1,1,1,0
43,8,0,3,1,1,1,0
43,8,0,4,1,1,1,0
43,8,0,5,1,1,1,0
43,8,0,6,1,2,2,0
43,8,0,7,1,2,2,0
43,8,0,8,1,2,2,0
43,8,0,9,1,2,2,0
43,8,0,10,1,3,3,0
43,8,0,11,1,3,3,0
43,8,0,12,1,3,3,0
43,8,0,13,1,4,4,0
43,8,0,14,1,4,4,0
43,8,0,15,1,4,4,0
43,8,0,16,1,5,5,0
43,8,0,17,1,5,5,0
43,8,0,18,1,5,5,0
43,8,0,19,0,,10,1
43,8,2,1,1,1,1,0
43,8,2,2,1,1,1,0
43,8,2,3,1,1,1,0
43,8,2,4,1,1,1,0
43,8,2,5,1,1,1,0
43,8,2,6,1,1,1,0
43,8,2,7,1,2,2,0
43,8,2,8,1,2,2,0
43,8,2,9,1,2,2,0
43,8,2,10,1,2,2,0
43,8,2,11,1,2,2,0
43,8,2,12,1,3,3,0
43,8,2,13,1,3,3,0
43,8,2,14,1,4,4,0
43,8,2,15,1,5,5,0
43,8,2,16,1,6,6,0
43,8,2,17,1,7,7,0
43,8,2,18,1,8,8,0
43,8,2,19,0,,10,1
43,8,3,1,1,1,1,0
43,8,3,2,1,1,1,0
43,8,3,3,1,1,1,0
43,8,3,4,1,1,1,0
43,8,3,5,1,1,1,0
43,8,3,6,1,1,1,0
43,8,3,7,1,2,2,0
43,8,3,8,1,2,2,0
43,8,3,9,1,2,2,0
43,8,3,10,1,2,2,0
43,8,3,11,1,2,2,0
43,8,3,12,1,3,3,0
43,8,3,13,1,3,3,0
43,8,3,14,1,4,4,0
43,8,3,15,1,5,5,0
43,8,3,16,1,6,6,0
43,8,3,17,1,7,7,0
43,8,3,18,0,,10,1
43,8,3,19,0,,10,1
43,8,4,1,1,1,1,0
43,8,4,2,1,1,1,0
43,8,4,3,1,1,1,0
43,8,4,4,1,1,1,0
43,8,4,5,1,1,1,0
43,8,4,6,1,1,1,0
43,8,4,7,1,2,2,0
43,8,4,8,1,2,2,0
43,8,4,9,1,2,2,0
43,8,4,10,1,2,2,0
43,8,4,11,1,3,3,0
43,8,4,12,1,3,3,0
43,8,4,13,1,4,4,0
43,8,4,14,1,4,4,0
43,8,4,15,1,5,5,0
43,8,4,16,1,6,6,0
43,8,4,17,0,,10,1
43,8,4,18,0,,10,1
43,8,4,19,0,,10,1
43,8,5,1,1,1,1,0
43,8,5,2,1,1,1,0
43,8,5,3,1,1,1,0
43,8,5,4,1,1,1,0
43,8,5,5,1,1,1,0
43,8,5,6,1,1,1,0
43,8,5,7,1,2,2,0
43,8,5,8,1,2,2,0
43,8,5,9,1,2,2,0
43,8,5,10,1,3,3,0
43,8,5,11,1,3,3,0
43,8,5,12,1,4,4,0
43,8,5,13,1,4,4,0
43,8,5,14,1,5,5,0
43,8,5,15,1,5,5,0
43,8,5,16,0,,10,1
43,8,5,17,0,,10,1
43,8,5,18,0,,10,1
43,8,5,19,0,,10,1
43,8,6,1,1,1,1,0
43,8,6,2,1,1,1,0
43,8,6,3,1,1,1,0
43,8,6,4,1,1,1,0
43,8,6,5,1,2,2,0
43,8,6,6,1,2,2,0
43,8,6,7,1,2,2,0
43,8,6,8,1,2,2,0
43,8,6,9,1,3,3,0
43,8,6,10,1,3,3,0
43,8,6,11,1,4,4,0
43,8,6,12,1,4,4,0
43,8,6,13,0,,10,1
43,8,6,14,0,,10,1
43,8,6,15,0,,10,1
43,8,6,16,0,,10,1
43,8,6,17,0,,10,1
43,8,6,18,0,,10,1
43,8,6,19,0,,10,1
43,8,7,1,1,1,1,0
43,8,7,2,1,1,1,0
43,8,7,3,1,1,1,0
43,8,7,4,1,1,1,0
43,8,7,5,1,2,2,0
43,8,7,6,1,2,2,0
43,8,7,7,1,2,2,0
43,8,7,8,1,3,3,0
43,8,7,9,1,3,3,0
43,8,7,10,0,,10,1
43,8,7,11,0,,10,1
43,8,7,12,0,,10,1
43,8,7,13,0,,10,1
43,8,7,14,0,,10,1
43,8,7,15,0,,10,1
43,8,7,16,0,,10,1
43,8,7,17,0,,10,1
43,8,7,18,0,,10,1
43,8,7,19,0,,10,1
43,9,0,1,1,1,1,0
43,9,0,2,1,1,1,0
43,9,0,3,1,1,1,0
43,9,0,4,1,1,1,0
43,9,0,5,1,2,2,0
43,9,0,6,1,2,2,0
43,9,0,7,1,2,2,0
43,9,0,8,1,2,2,0
43,9,0,9,1,3,3,0
43,9,0,10,1,3,3,0
43,9,0,11,1,3,3,0
43,9,0,12,1,3,3,0
43,9,0,13,1,4,4,0
43,9,0,14,1,5,5,0
43,9,0,15,1,5,5,0
43,9,0,16,1,5,5,0
43,9,0,17,1,6,6,0
43,9,0,18,1,6,6,0
43,9,0,19,0,,10,1
43,9,1,1,1,1,1,0
43,9,1,2,1,1,1,0
43,9,1,3,1,1,1,0
43,9,1,4,1,2,2,0
43,9,1,5,1,2,2,0
43,9,1,6,1,2,2,0
43,9,1,7,1,2,2,0
43,9,1,8,1,3,3,0
43,9,1,9,1,3,3,0
43,9,1,10,1,3,3,0
43,9,1,11,1,3,3,0
43,9,1,12,1,4,4,0
43,9,1,13,1,4,4,0
43,9,1,14,1,4,4,0
43,9,1,15,1,5,5,0
43,9,1,16,1,6,6,0
43,9,1,17,1,6,6,0
43,9,1,18,1,6,6,0
43,9,1,19,0,,10,1
43,9,4,1,1,1,1,0
43,9,4,2,1,1,1,0
43,9,4,3,1,1,1,0
43,9,4,4,1,1,1,0
43,9,4,5,1,1,1,0
43,9,4,6,1,2,2,0
43,9,4,7,1,2,2,0
43,9,4,8,1,2,2,0
43,9,4,9,1,2,2,0
43,9,4,10,1,2,2,0
43,9,4,11,1,3,3,0
43,9,4,12,1,3,3,0
43,9,4,13,1,3,3,0
43,9,4,14,1,4,4,0
43,9,4,15,1,4,4,0
43,9,4,16,1,5,5,0
43,9,4,17,1,6,6,0
43,9,4,18,1,7,7,0
43,9,4,19,0,,10,1
43,9,5,1,1,1,1,0
43,9,5,2,1,1,1,0
43,9,5,3,1,1,1,0
43,9,5,4,1,1,1,0
43,9,5,5,1,1,1,0
43,9,5,6,1,2,2,0
43,9,5,7,1,2,2,0
43,9,5,8,1,2,2,0
43,9,5,9,1,3,3,0
43,9,5,10,1,3,3,0
43,9,5,11,1,4,4,0
43,9,5,12,1,4,4,0
43,9,5,13,0,,10,1
43,9,5,14,0,,10,1
43,9,5,15,0,,10,1
43,9,5,16,0,,10,1
43,9,5,17,0,,10,1
43,9,5,18,0,,10,1
43,9,5,19,0,,10,1
43,9,6,1,1,1,1,0
43,9,6,2,1,1,1,0
43,9,6,3,1,1,1,0
43,9,6,4,1,1,1,0
43,9,6,5,1,1,1,0
43,9,6,6,1,2,2,0
43,9,6,7,1,2,2,0
43,9,6,8,1,3,3,0
43,9,6,9,1,3,3,0
43,9,6,10,0,,10,1
43,9,6,11,0,,10,1
43,9,6,12,0,,10,1
43,9,6,13,0,,10,1
43,9,6,14,0,,10,1
43,9,6,15,0,,10,1
43,9,6,16,0,,10,1
43,9,6,17,0,,10,1
43,9,6,18,0,,10,1
43,9,6,19,0,,10,1
43,9,7,1,1,1,1,0
43,9,7,2,1,1,1,0
43,9,7,3,1,1,1,0
43,9,7,4,1,1,1,0
43,9,7,5,1,2,2,0
43,9,7,6,1,2,2,0
43,9,7,7,0,,10,1
43,9,7,8,0,,10,1
43,9,7,9,0,,10,1
43,9,7,10,0,,10,1
43,9,7,11,0,,10,1
43,9,7,12,0,,10,1
43,9,7,13,0,,10,1
43,9,7,14,0,,10,1
43,9,7,15,0,,10,1
43,9,7,16,0,,10,1
43,9,7,17,0,,10,1
43,9,7,18,0,,10,1
43,9,7,19,0,,10,1
43,9,8,1,1,1,1,0
43,9,8,2,1,1,1,0
43,9,8,3,1,1,1,0
43,9,8,4,0,,10,1
43,9,8,5,0,,10,1
43,9,8,6,0,,10,1
43,9,8,7,0,,10,1
43,9,8,8,0,,10,1
43,9,8,9,0,,10,1
43,9,8,10,0,,10,1
43,9,8,11,0,,10,1
43,9,8,12,0,,10,1
43,9,8,13,0,,10,1
43,9,8,14,0,,10,1
43,9,8,15,0,,10,1
43,9,8,16,0,,10,1
43,9,8,17,0,,10,1
43,9,8,18,0,,10,1
43,9,8,19,0,,10,1
44,0,0,1,1,1,1,0
44,0,0,2,1,1,1,0
44,0,0,3,1,1,1,0
44,0,0,4,1,1,1,0
44,0,0,5,1,2,2,0
44,0,0,6,1,2,2,0
44,0,0,7,1,2,2,0
44,0,0,8,1,2,2,0
44,0,0,9,1,3,3,0
44,0,0,10,1,3,3,0
44,0,0,11,1,3,3,0
44,0,0,12,1,3,3,0
44,0,0,13,1,4,4,0
44,0,0,14,1,5,5,0
44,0,0,15,1,6,6,0
44,0,0,16,1,7,7,0
44,0,0,17,1,8,8,0
44,0,0,18,1,8,8,0
44,0,0,19,0,,10,1
44,0,2,1,1,1,1,0
44,0,2,2,1,1,1,0
44,0,2,3,1,1,1,0
44,0,2,4,1,1,1,0
44,0,2,5,1,1,1,0
44,0,2,6,1,2,2,0
44,0,2,7,1,2,2,0
44,0,2,8,1,2,2,0
44,0,2,9,1,3,3,0
44,0,2,10,1,3,3,0
44,0,2,11,1,4,4,0
44,0,2,12,1,4,4,0
44,0,2,13,1,4,4,0
44,0,2,14,1,4,4,0
44,0,2,15,1,5,5,0
44,0,2,16,1,5,5,0
44,0,2,17,1,6,6,0
44,0,2,18,1,7,7,0
44,0,2,19,0,,10,1
44,0,5,1,1,1,1,0
44,0,5,2,1,1,1,0
44,0,5,3,1,1,1,0
44,0,5,4,1,1,1,0
44,0,5,5,1,1,1,0
44,0,5,6,1,2,2,0
44,0,5,7,1,2,2,0
44,0,5,8,1,2,2,0
44,0,5,9,1,2,2,0
44,0,5,10,1,2,2,0
44,0,5,11,1,3,3,0
44,0,5,12,1,3,3,0
44,0,5,13,1,3,3,0
44,0,5,14,1,3,3,0
44,0,5,15,1,3,3,0
44,0,5,16,1,4,4,0
44,0,5,17,1,4,4,0
44,0,5,18,1,4,4,0
44,0,5,19,0,,10,1
44,0,6,1,1,1,1,0
44,0,6,2,1,1,1,0
44,0,6,3,1,1,1,0
44,0,6,4,1,1,1,0
44,0,6,5,1,1,1,0
44,0,6,6,1,2,2,0
44,0,6,7,1,2,2,0
44,0,6,8,1,2,2,0
44,0,6,9,1,2,2,0
44,0,6,10,1,2,2,0
44,0,6,11,1,3,3,0
44,0,6,12,1,3,3,0
44,0,6,13,1,3,3,0
44,0,6,14,1,3,3,0
44,0,6,15,1,3,3,0
44,0,6,16,1,4,4,0
44,0,6,17,1,4,4,0
44,0,6,18,1,5,5,0
44,0,6,19,0,,10,1
44,0,7,1,1,1,1,0
44,0,7,2,1,1,1,0
44,0,7,3,1,1,1,0
44,0,7,4,1,1,1,0
44,0,7,5,1,1,1,0
44,0,7,6,1,2,2,0
44,0,7,7,1,2,2,0
44,0,7,8,1,2,2,0
44,0,7,9,1,2,2,0
44,0,7,10,1,2,2,0
44,0,7,11,1,3,3,0
44,0,7,12,1,3,3,0
44,0,7,13,1,3,3,0
44,0,7,14,1,3,3,0
44,0,7,15,1,4,4,0
44,0,7,16,1,4,4,0
44,0,7,17,1,4,4,0
44,0,7,18,1,5,5,0
44,0,7,19,0,,10,1
44,0,8,1,1,1,1,0
44,0,8,2,1,1,1,0
44,0,8,3,1,1,1,0
44,0,8,4,1,1,1,0
44,0,8,5,1,1,1,0
44,0,8,6,1,2,2,0
44,0,8,7,1,2,2,0
44,0,8,8,1,2,2,0
44,0,8,9,1,2,2,0
44,0,8,10,1,3,3,0
44,0,8,11,1,3,3,0
44,0,8,12,1,3,3,0
44,0,8,13,1,3,3,0
44,0,8,14,1,4,4,0
44,0,8,15,1,4,4,0
44,0,8,16,1,5,5,0
44,0,8,17,1,5,5,0
44,0,8,18,1,5,5,0
44,0,8,19,0,,10,1
44,0,9,1,1,1,1,0
44,0,9,2,1,1,1,0
44,0,9,3,1,1,1,0
44,0,9,4,1,1,1,0
44,0,9,5,1,2,2,0
44,0,9,6,1,2,2,0
44,0,9,7,1,2,2,0
44,0,9,8,1,2,2,0
44,0,9,9,1,3,3,0
44,0,9,10,1,3,3,0
44,0,9,11,1,3,3,0
44,0,9,12,1,3,3,0
44,0,9,13,1,4,4,0
44,0,9,14,1,4,4,0
44,0,9,15,1,4,4,0
44,0,9,16,1,5,5,0
44,0,9,17,1,6,6,0
44,0,9,18,1,6,6,0
44,0,9,19,0,,10,1
44,1,0,1,1,1,1,0
44,1,0,2,1,1,1,0
44,1,0,3,1,1,1,0
44,1,0,4,1,1,1,0
44,1,0,5,1,1,1,0
44,1,0,6,1,2,2,0
44,1,0,7,1,2,2,0
44,1,0,8,1,2,2,0
44,1,0,9,1,2,2,0
44,1,0,10,1,3,3,0
44,1,0,11,1,3,3,0
44,1,0,12,1,3,3,0
44,1,0,13,1,4,4,0
44,1,0,14,1,5,5,0
44,1,0,15,1,6,6,0
44,1,0,16,1,7,7,0
44,1,0,17,1,7,7,0
44,1,0,18,1,7,7,0
44,1,0,19,0,,10,1
44,1,1,1,1,1,1,0
44,1,1,2,1,1,1,0
44,1,1,3,1,1,1,0
44,1,1,4,1,1,1,0
44,1,1,5,1,2,2,0
44,1,1,6,1,2,2,0
44,1,1,7,1,2,2,0
44,1,1,8,1,2,2,0
44,1,1,9,1,3,3,0
44,1,1,10,1,3,3,0
44,1,1,11,1,3,3,0
44,1,1,12,1,3,3,0
44,1,1,13,1,4,4,0
44,1,1,14,1,4,4,0
44,1,1,15,1,5,5,0
44,1,1,16,1,6,6,0
44,1,1,17,1,7,7,0
44,1,1,18,1,8,8,0
44,1,1,19,0,,10,1
44,1,2,1,1,1,1,0
44,1,2,2,1,1,1,0
44,1,2,3,1,1,1,0
44,1,2,4,1,1,1,0
44,1,2,5,1,1,1,0
44,1,2,6,1,2,2,0
44,1,2,7,1,2,2,0
44,1,2,8,1,3,3,0
44,1,2,9,1,3,3,0
44,1,2,10,1,3,3,0
44,1,2,11,1,3,3,0
44,1,2,12,1,4,4,0
44,1,2,13,1,4,4,0
44,1,2,14,1,4,4,0
44,1,2,15,1,4,4,0
44,1,2,16,1,5,5,0
44,1,2,17,1,6,6,0
44,1,2,18,1,7,7,0
44,1,2,19,0,,10,1
44,1,3,1,1,1,1,0
44,1,3,2,1,1,1,0
44,1,3,3,1,1,1,0
44,1,3,4,1,1,1,0
44,1,3,5,1,1,1,0
44,1,3,6,1,1,1,0
44,1,3,7,1,2,2,0
44,1,3,8,1,2,2,0
44,1,3,9,1,2,2,0
44,1,3,10,1,2,2,0
44,1,3,11,1,2,2,0
44,1,3,12,1,3,3,0
44,1,3,13,1,3,3,0
44,1,3,14,1,3,3,0
44,1,3,15,1,3,3,0
44,1,3,16,1,3,3,0
44,1,3,17,1,4,4,0
44,1,3,18,1,4,4,0
44,1,3,19,0,,10,1
44,1,4,1,1,1,1,0
44,1,4,2,1,1,1,0
44,1,4,3,1,1,1,0
44,1,4,4,1,1,1,0
44,1,4,5,1,1,1,0
44,1,4,6,1,1,1,0
44,1,4,7,1,2,2,0
44,1,4,8,1,2,2,0
44,1,4,9,1,2,2,0
44,1,4,10,1,2,2,0
44,1,4,11,1,2,2,0
44,1,4,12,1,3,3,0
44,1,4,13,1,3,3,0
44,1,4,14,1,3,3,0
44,1,4,15,1,3,3,0
44,1,4,16,1,4,4,0
44,1,4,17,1,4,4,0
44,1,4,18,1,4,4,0
44,1,4,19,0,,10,1
44,1,5,1,1,1,1,0
44,1,5,2,1,1,1,0
44,1,5,3,1,1,1,0
44,1,5,4,1,1,1,0
44,1,5,5,1,1,1,0
44,1,5,6,1,1,1,0
44,1,5,7,1,2,2,0
44,1,5,8,1,2,2,0
44,1,5,9,1,2,2,0
44,1,5,10,1,2,2,0
44,1,5,11,1,2,2,0
44,1,5,12,1,3,3,0
44,1,5,13,1,3,3,0
44,1,5,14,1,3,3,0
44,1,5,15,1,3,3,0
44,1,5,16,1,3,3,0
44,1,5,17,1,4,4,0
44,1,5,18,1,4,4,0
44,1,5,19,0,,10,1
44,1,6,1,1,1,1,0
44,1,6,2,1,1,1,0
44,1,6,3,1,1,1,0
44,1,6,4,1,1,1,0
44,1,6,5,1,1,1,0
44,1,6,6,1,1,1,0
44,1,6,7,1,2,2,0
44,1,6,8,1,2,2,0
44,1,6,9,1,2,2,0
44,1,6,10,1,2,2,0
44,1,6,11,1,2,2,0
44,1,6,12,1,3,3,0
44,1,6,13,1,3,3,0
44,1,6,14,1,3,3,0
44,1,6,15,1,3,3,0
44,1,6,16,1,4,4,0
44,1,6,17,1,4,4,0
44,1,6,18,1,4,4,0
44,1,6,19,0,,10,1
44,1,7,1,1,1,1,0
44,1,7,2,1,1,1,0
44,1,7,3,1,1,1,0
44,1,7,4,1,1,1,0
44,1,7,5,1,1,1,0
44,1,7,6,1,1,1,0
44,1,7,7,1,2,2,0
44,1,7,8,1,2,2,0
44,1,7,9,1,2,2,0
44,1,7,10,1,2,2,0
44,1,7,11,1,2,2,0
44,1,7,12,1,3,3,0
44,1,7,13,1,3,3,0
44,1,7,14,1,3,3,0
44,1,7,15,1,3,3,0
44,1,7,16,1,4,4,0
44,1,7,17,1,5,5,0
44,1,7,18,1,5,5,0
44,1,7,19,0,,10,1
44,1,9,1,1,1,1,0
44,1,9,2,1,1,1,0
44,1,9,3,1,1,1,0
44,1,9,4,1,2,2,0
44,1,9,5,1,2,2,0
44,1,9,6,1,2,2,0
44,1,9,7,1,2,2,0
44,1,9,8,1,3,3,0
44,1,9,9,1,3,3,0
44,1,9,10,1,3,3,0
44,1,9,11,1,3,3,0
44,1,9,12,1,4,4,0
44,1,9,13,1,4,4,0
44,1,9,14,1,4,4,0
44,1,9,15,1,5,5,0
44,1,9,16,1,5,5,0
44,1,9,17,1,5,5,0
44,1,9,18,1,6,6,0
44,1,9,19,0,,10,1
44,2,0,1,1,1,1,0
44,2,0,2,1,1,1,0
44,2,0,3,1,1,1,0
44,2,0,4,1,1,1,0
44,2,0,5,1,1,1,0
44,2,0,6,1,2,2,0
44,2,0,7,1,2,2,0
44,2,0,8,1,2,2,0
44,2,0,9,1,2,2,0
44,2,0,10,1,2,2,0
44,2,0,11,1,3,3,0
44,2,0,12,1,3,3,0
44,2,0,13,1,4,4,0
44,2,0,14,1,5,5,0
44,2,0,15,1,6,6,0
44,2,0,16,1,6,6,0
44,2,0,17,1,6,6,0
44,2,0,18,1,7,7,0
44,2,0,19,0,,10,1
44,2,1,1,1,1,1,0
44,2,1,2,1,1,1,0
44,2,1,3,1,1,1,0
44,2,1,4,1,1,1,0
44,2,1,5,1,2,2,0
44,2,1,6,1,2,2,0
44,2,1,7,1,2,2,0
44,2,1,8,1,2,2,0
44,2,1,9,1,2,2,0
44,2,1,10,1,3,3,0
44,2,1,11,1,3,3,0
44,2,1,12,1,3,3,0
44,2,1,13,1,3,3,0
44,2,1,14,1,4,4,0
44,2,1,15,1,5,5,0
44,2,1,16,1,6,6,0
44,2,1,17,1,7,7,0
44,2,1,18,1,7,7,0
44,2,1,19,0,,10,1
44,2,2,1,1,1,1,0
44,2,2,2,1,1,1,0
44,2,2,3,1,1,1,0
44,2,2,4,1,1,1,0
44,2,2,5,1,1,1,0
44,2,2,6,1,1,1,0
44,2,2,7,1,2,2,0
44,2,2,8,1,2,2,0
44,2,2,9,1,2,2,0
44,2,2,10,1,2,2,0
44,2,2,11,1,2,2,0
44,2,2,12,1,2,2,0
44,2,2,13,1,3,3,0
44,2,2,14,1,3,3,0
44,2,2,15,1,3,3,0
44,2,2,16,1,3,3,0
44,2,2,17,1,4,4,0
44,2,2,18,1,4,4,0
44,2,2,19,0,,10,1
44,2,4,1,1,1,1,0
44,2,4,2,1,1,1,0
44,2,4,3,1,1,1,0
44,2,4,4,1,1,1,0
44,2,4,5,1,1,1,0
44,2,4,6,1,1,1,0
44,2,4,7,1,2,2,0
44,2,4,8,1,2,2,0
44,2,4,9,1,2,2,0
44,2,4,10,1,2,2,0
44,2,4,11,1,2,2,0
44,2,4,12,1,2,2,0
44,2,4,13,1,3,3,0
44,2,4,14,1,3,3,0
44,2,4,15,1,3,3,0
44,2,4,16,1,3,3,0
44,2,4,17,1,3,3,0
44,2,4,18,1,4,4,0
44,2,4,19,0,,10,1
44,2,5,1,1,1,1,0
44,2,5,2,1,1,1,0
44,2,5,3,1,1,1,0
44,2,5,4,1,1,1,0
44,2,5,5,1,1,1,0
44,2,5,6,1,1,1,0
44,2,5,7,1,2,2,0
44,2,5,8,1,2,2,0
44,2,5,9,1,2,2,0
44,2,5,10,1,2,2,0
44,2,5,11,1,2,2,0
44,2,5,12,1,2,2,0
44,2,5,13,1,3,3,0
44,2,5,14,1,3,3,0
44,2,5,15,1,3,3,0
44,2,5,16,1,3,3,0
44,2,5,17,1,3,3,0
44,2,5,18,1,4,4,0
44,2,5,19,0,,10,1
44,2,6,1,1,1,1,0
44,2,6,2,1,1,1,0
44,2,6,3,1,1,1,0
44,2,6,4,1,1,1,0
44,2,6,5,1,1,1,0
44,2,6,6,1,1,1,0
44,2,6,7,1,2,2,0
44,2,6,8,1,2,2,0
44,2,6,9,1,2,2,0
44,2,6,10,1,2,2,0
44,2,6,11,1,2,2,0
44,2,6,12,1,2,2,0
44,2,6,13,1,3,3,0
44,2,6,14,1,3,3,0
44,2,6,15,1,3,3,0
44,2,6,16,1,3,3,0
44,2,6,17,1,4,4,0
44,2,6,18,1,4,4,0
44,2,6,19,0,,10,1
44,2,7,1,1,1,1,0
44,2,7,2,1,1,1,0
44,2,7,3,1,1,1,0
44,2,7,4,1,1,1,0
44,2,7,5,1,1,1,0
44,2,7,6,1,2,2,0
44,2,7,7,1,2,2,0
44,2,7,8,1,2,2,0
44,2,7,9,1,2,2,0
44,2,7,10,1,2,2,0
44,2,7,11,1,3,3,0
44,2,7,12,1,3,3,0
44,2,7,13,1,3,3,0
44,2,7,14,1,3,3,0
44,2,7,15,1,4,4,0
44,2,7,16,1,4,4,0
44,2,7,17,1,4,4,0
44,2,7,18,1,5,5,0
44,2,7,19,0,,10,1
44,3,0,1,1,1,1,0
44,3,0,2,1,1,1,0
44,3,0,3,1,1,1,0
44,3,0,4,1,1,1,0
44,3,0,5,1,1,1,0
44,3,0,6,1,2,2,0
44,3,0,7,1,2,2,0
44,3,0,8,1,2,2,0
44,3,0,9,1,2,2,0
44,3,0,10,1,2,2,0
44,3,0,11,1,3,3,0
44,3,0,12,1,3,3,0
44,3,0,13,1,4,4,0
44,3,0,14,1,5,5,0
44,3,0,15,1,5,5,0
44,3,0,16,1,5,5,0
44,3,0,17,1,6,6,0
44,3,0,18,1,6,6,0
44,3,0,19,0,,10,1
44,3,2,1,1,1,1,0
44,3,2,2,1,1,1,0
44,3,2,3,1,1,1,0
44,3,2,4,1,1,1,0
44,3,2,5,1,1,1,0
44,3,2,6,1,1,1,0
44,3,2,7,1,2,2,0
44,3,2,8,1,2,2,0
44,3,2,9,1,2,2,0
44,3,2,10,1,2,2,0
44,3,2,11,1,2,2,0
44,3,2,12,1,2,2,0
44,3,2,13,1,3,3,0
44,3,2,14,1,3,3,0
44,3,2,15,1,3,3,0
44,3,2,16,1,3,3,0
44,3,2,17,1,3,3,0
44,3,2,18,1,4,4,0
